,B*07,B*08,B*13,B*14,B*15,B*18,B*27,B*35,B*37,B*38,B*39,B*40,B*41,B*42,B*44,B*45,B*46,B*47,B*48,B*49,B*50,B*51,B*52,B*53,B*54,B*55,B*56,B*57,B*58,B*67,B*73,B*78,B*80
A*29, 0.98705472895071555,-0.46816857853005667,-0.55224032286369718, 0.45509585277586651,0.068746922451367348, -1.0121832134890698,-0.85033451137341498,-0.19727093890229244,-0.23052894451249359,-0.52123821522835589,-0.70731220945579454,-0.25576511988213718,-0.16978388757463775, 0.30718050196070978,  2.3719840585902805,  2.6087481122198892,-0.12195480466006349,-0.47518190135867405,-0.30202692003787468,-0.44722140308261049,-0.17320420447630322,-0.26001463578126077,-0.24596670775913551, 0.40146162213120584,-0.13348829319354402,-0.55876060264805461, 0.98172305390257131,-0.85493852568686191, 0.72743537855015628,-0.13102975291605623,-0.13089935822586002,0.012861591481345903, -0.1227787713758583
A*30,-0.75213136797891655,-0.40132417488475625,  3.2106951864593918,-0.60459517339658098,-0.19498346151833243,  1.3615396294210631, -1.1422588541607563,-0.70593882161509858,-0.069952875110821877, 0.15186115632989874,-0.94960563862389913, -1.1474777001201391, 0.72678359566305495,  1.2557843084168001, -1.3034446139950207,-0.52819907980561198,-0.15193241659857373,-0.080608905118376123,-0.36430635727657223,  0.5733642904506755, 0.62792634343070797,-0.33372122726760828,-0.10964911392740513,  1.0783920158313043,-0.16589836564732763,-0.45980593490609273,-0.36393365407395217,  0.2444098317877941, 0.57483986410380206,-0.16292588183786563, 0.63343517719665721,-0.29340569773861641,-0.15293208348883633
A*31,0.043731681100963274,-0.052165051060125971, -1.2353118317447036,-0.76986374567054749, 0.24263636218777798, -0.9860319415836345,  1.2683563379101415, 0.64015884535036294, 0.63028679738120408, 0.12204754130518736, 0.66423374539435853,  1.9286305192455466,-0.26552411548294552,-0.29707841406096563,-0.60559710156637947,-0.40236238258299073,-0.13313658538345394,-0.0023059809390569221, 0.81906053217146835, 0.25154414821054366,-0.69584510986013426,  1.0584617756722896,-0.53262747966220036, -0.5337385156524096,-0.14559371082616457,-0.66895970571280228,-0.12600654580276813, 0.41008738379152737,-0.71341438798414725, 0.62386212641668881,-0.14279903914441627,-0.26070895831164037,-0.13402719310657416
A*32, 0.25999943369175793,-0.41724698630655482,  0.2148456306249569, 0.73527686488916255, 0.27858117023460882, 0.12478114149232382,  1.0054614685066712, 0.39504281652653944,-0.43747323216188355,-0.82208524787939075,-0.026468922269103076,  1.2806348231524058,-0.37092417236887065,-0.40537270156060978, 0.70553193754856802,-0.47081517575971399,-0.19105724627644291,-0.068336387780302807,-0.44115861120281086, -0.3522168738619032,-0.061030485020672508, 0.34754322354569206,-0.19095532441645521,-0.80815473362984602,-0.20800025950337031, 0.52640873285745193, -0.1245727956599922,0.027507716836140759,-0.16685976302149172,-0.20440078751823912,-0.20420954134061756, 0.26199708325336957, -0.1922727956213523
A*33,-0.21578947758997016,0.061528219419954212,-0.41791129241941732,  2.7643570690047952,0.040325834991362865, 0.41242222501045211,-0.78423605220009596,-0.27897648612011711,-0.46699328291496145,-0.30410874757336753,-0.98383355156703234, 0.42868900766985829,-0.82231354057892314,-0.16500631793246365,-0.49280572476305551,0.001087791897675591,-0.069084134041299275,-0.30395810338985479,-0.18282721108302655, 0.10726707275311781, 0.28568245153306365,-0.46590716277947603,-0.53859772854022947, 0.19794005706648146, 0.79667505816083706,-0.99448468630447506,-0.50441693274618304,-0.31882380739677335,  2.3092376189133197,-0.074496357311413658,-0.074418443699010225,  1.1233507177659829,-0.069574083235750817
A*34,-0.59601784601155283,     1.0567868961116,  1.2666269729371826,  2.1703961209539111,-0.49209750814930014,-0.45268289804177303, 0.37605022341016869,-0.024987148159764782,-0.13793326520783292,-0.25039415864391934,-0.22608399031222051,-0.30786063735386354,-0.15294123682955238,-0.017667109021776997,-0.49773835514322434,-0.088195416495868692,-0.0067945262619798063,-0.036691132406476534,-0.019883486499264719,-0.26675256517893037,-0.16350367166979521,-0.35781593276214457,-0.14893930139854877,-0.073138654720583965,-0.0075172940751056039,-0.21362652863937953,-0.071836736608070884,-0.030111910907522528,-0.19209714233329631,-0.0073621301398344155,-0.0073539428903770365,-0.014989988342000039,-0.0068456992089041078
A*36,-0.33113580794427472,  1.5483606111022425, 0.22810899803214738,-0.51615348910453651, 0.15848875657163369,-0.11810725872751328,-0.45946986714297017,-0.12453581908943774,-0.19187128295774192,-0.33708238351223885, 0.31369324292133599,-0.59488578019963523,-0.21171981523910954,-0.025728273898782125,-0.77979705915429087,-0.12482545322411016,-0.0099429122765949951,-0.052994942246447442,-0.02892736476988924,-0.35761022486221045,  0.9888747940340834,-0.030907662532914281,-0.20644305622891942,  1.7991021087306034,-0.010997099296019872,-0.29044033465629704, -0.1023009679951689,  0.1854303277391659, -0.2627789397057772,-0.010770836468147669,-0.010758895166859826,-0.021855741123506099,-0.010017571607819188
A*66,-0.64271508041543779,-0.90730940385718306,-0.56608042649124157,   0.389139059951991,  0.2844344273827431,-0.12175332298292613, -0.9344546383286727, -0.2047038318141885,-0.47315443664348622, 0.41639072296406554,-0.52887253542287183,-0.40370442396794398,   3.328206965495613,-0.07971860795689685,-0.50571012566866214,-0.33186511238389443,-0.031812352974611477, 0.41882099461802019,-0.089079453742100384, 0.67657527041082532,0.034743851605320494, -0.5927385348703732,  1.7428859171487663,  0.2331264661331108,-0.035107197892063798,-0.33587979000220258, -0.2800644019942789,-0.77297604963568289, 0.48242461921004659,-0.03440107318918232,-0.03436376056659747,-0.068237587277281589,-0.032046146842718483
A*68,-0.25562833188285805,-0.42592013361197373,0.020933757313807321, 0.95429446858931288,-0.10683114949947511,-0.44192925454066462, 0.23429269945514142, 0.48049450130725835,-0.59011038154069395,-0.21113608841665935,-0.38218139232771131, 0.73569122428922462,-0.35413243997029575,-0.45215032695954549,   0.593399782742139,-0.31405287494877066,-0.21748590297300527,0.074435109137868063, 0.83115083750654828,-0.29558500313965957,-0.42431374420532281, 0.74903742242291238,-0.55201144746009945,  1.9272308099095714,-0.23632446582983493,-0.36041505952142272,-0.02764259185506187,-0.34347386395287394,-0.56775532309257148,-0.23232691425238108,-0.23211440994527463, 0.64139986771276314,-0.21883938046039203
A*69,-0.89457490272367424, 0.12440286649009066,-0.28591152009297627,-0.18419945929155288,-0.57170966728383321,0.034632242841995502, 0.27220737233456382, 0.50858837776903554, -0.2558926153979259, 0.64522287005420398, 0.15621047550722669,-0.73681977675558041,-0.31960900905501249,-0.042543998310596041,-0.28588630103229518,-0.19556909803759992,-0.016608957728141912,-0.086207079645922502,-0.047738472565030603, 0.45419341829335558,-0.33875955243295691, 0.37069107844434229,-0.31012108593617932,-0.23583187612291662,-0.018357274077925059,  2.1040447420239254,-0.16205196368039174, 0.27558206077449293, 0.13152346992092759,-0.017982203318779515,-0.017962400911607265,-0.036228909670896557,-0.016732850382363922
