,Cw*0102,Cw*0110,Cw*0202,Cw*0210,Cw*0218,Cw*0302,Cw*0303,Cw*0304,Cw*0305,Cw*0306,Cw*0307,Cw*0308,Cw*0338,Cw*0401,Cw*0403,Cw*0404,Cw*0408,Cw*0501,Cw*0509,Cw*0602,Cw*0701,Cw*0702,Cw*0704,Cw*0705,Cw*0717,Cw*0727,Cw*0801,Cw*0802,Cw*0803,Cw*0804,Cw*0811,Cw*0812,Cw*1202,Cw*1203,Cw*1402,Cw*1403,Cw*1406,Cw*1502,Cw*1504,Cw*1505,Cw*1506,Cw*1509,Cw*1519,Cw*1520,Cw*1601,Cw*1602,Cw*1604,Cw*1700,Cw*1800
A*31,  1.2939445612684022,  1.2932206700399238,-0.99933632871221589,-0.47073755966255809,-0.10115342730315269,-0.34093943789834014, 0.37233642365335301,  0.6818384124884278, 0.45474422427490757, 0.26597990464171434,0.096162841041545905, 0.72956063489077483,-0.097647594373320809, 0.50644268695553507,-0.10803300477080571, 0.14356727822199419,-0.098442799241706874,-0.16043201774778937, -0.1027869831367936,  0.1128757140177143,-0.48608880752331618, 0.92636009684239695,-0.024425239833045516, -0.1221261220421262,-0.11615171375060609,-0.11265949243104836,  1.7444464618476556,-0.19711359697517886, 0.63028182328050231, -0.2943330489849928, -0.0922127732902078,-0.10178530178080515,-0.79323218687997998,  -1.265504334991824, -1.1195762102531008,-0.15260581164736411,0.014379420876939058, 0.59112459730635947,-0.23458769793741696,-0.11856935584970439,-0.11076155468633569,-0.51515693503261029,-0.11180039029359663, 0.27233953352785217,0.046978798811661782,-0.92231569390346613,-0.13285511168411188,-0.30009535993906172,-0.37311819143107999
A*32, 0.36734775323928376,-0.12222003816115161,  1.2169562997499717,-0.42241564744392157,-0.076052340820569692,-0.53919393544540806,  1.1600870180779683, -1.7082784469672279,-0.88341757209461191,-0.56589808640590322,-0.13987708227561288,-0.086483343368607773,-0.073801768642324878,-0.32567311354901646,-0.082541567641872218,-0.073450885291738419,-0.07473505351878236, 0.86898008337202504,-0.088299780787270701, 0.34190699017131615, 0.52071348411033302,0.037805111153340239,-0.003716665690447075,-0.087479429441688683,-0.080736296321356371,-0.08413945550250429,-0.53834110536828139, 0.37325937726757369,-0.055997326758378631,  0.2314020746966432,-0.068028455306814992,-0.077050957601126166, 0.87739613496565072, 0.30168994619750705,-0.39021028469065888,-0.14150203519145924,-0.077870445188636936,-0.047450811980777628, 0.66535563402713227, 0.42149481663502908,-0.074983653515063212,-0.27834736272985888,-0.075947662475652877,-0.073757601005995738,-0.44846041615039395, 0.34787658630323093, 0.55626026480560453,-0.065710270941854401,-0.35646267649764046
A*33, -1.1761913200447447,-0.098830441685215834, 0.53214137915239401,-0.48815132978989551,-0.087077555304094681,  1.1395991678070165,-0.92464007656925407, 0.73850070319544892, 0.16885131288668576,-0.17093288799481332, -0.1165332530481966,-0.085261215778567961,-0.089639882140017321,-0.47447376734865759,-0.098087277042083698,-0.082644606417733454,-0.10176595421299406,-0.31935571572346411,-0.14537030503839485,-0.053018985711029025,-0.39244065485887636,-0.96876590536017038,-0.90955417440191189,-0.094661501283056365,-0.068525766934683124,-0.081907212073390079,-0.0080139126486861723, 0.49077647879069231,-0.20417025992918994, 0.57318194485374119,-0.082441602451641338, 0.74091954131899107, 0.35478561097432221,-0.86993457196803536,  1.7398453277230572, 0.99280738171446181,-0.10535889160496888, 0.31252127381902089,-0.11637862973878581, 0.30099835016497101,-0.077634441350906663,-0.13550479602753446,-0.079169726066312632,-0.083868382344244333,-0.42491471117191321, 0.88433666773309227,-0.23663240224911714,-0.078874428232053928, 0.56146140441073467
A*34, -0.1858414753530184,-0.012223635378422441,-0.46454974027618473,-0.072135979889469515,-0.010912916264456216, -0.2544293125485626,-0.25473136156388348,-0.21404062304156871,-0.029191154990511683,-0.015087485766686923,-0.014328435330147698,-0.010705307978018769,-0.011715263652987098,  1.3766297578186568, 0.91284136274356364,-0.010336400829534473,-0.010651847096568433,-0.68414984114218624,-0.030483091159383684,  1.3811345216520872, 0.42513145638577932,-0.23342559378661118,-0.28784032100199236,-0.011919161150438298,-0.011680726059662881,-0.010210332730772922,-0.084342514643559824,-0.054765228336087893,-0.019785988178917233,-0.038480371881173515,-0.010126676631555611,-0.010925119125509881,-0.056742062869873974,-0.27665249381796397,-0.18162457825208081,-0.064071692633451777,-0.011011832454596214,-0.24504997015380992,-0.019831074952744727, 0.24758924035415972,-0.010639670826917877,-0.03997362770307817,-0.010808932062250773,-0.010510930181192575, -0.2353869086718251,-0.13005520764231251,-0.060675388038646229, 0.10664753237953942,-0.037923595285168671
A*36,-0.24354962106001085,-0.0064387810857140142, 0.84860903315125946,-0.073772037985375877,-0.0050298188698826912,-0.024285160006620565,-0.23880528942643639,0.017520357633143874,-0.030791921753104818,-0.026400465297872443,-0.0083309051107565129,-0.0051522792023417129,-0.0049473565645652617,   0.881858755115561,-0.0064223429689472056,-0.0046725051194746858,-0.0051617404002707061,-0.19600001568427097,-0.006883341584892691,-0.35983114904581864, 0.37049693684615115,0.077840742014594899,-0.10278622784964944,-0.0051970636670685688,-0.0051608597089293487,-0.0049615987256085778,-0.017891014746506579,0.029099532787230639,-0.0091952806420143429,-0.023711812229805541,-0.0046675666513253077,-0.0053341296584674177,-0.018683834377033352,-0.072422451180211719,-0.0070293402624637385,-0.011932929879406836,-0.0054139951332440065,-0.039413596072725481,-0.0067569166467760693,-0.059055715510118123,-0.0044055755845794431,-0.0065412057519193397,-0.0044885224989098544,-0.0047073635982609902,-0.42181472193411529,-0.012154073382177825,-0.010850939001123746,-0.038043988758137512,-0.076329902931006943
A*66,-0.48731713579646113,-0.02451829280662645, 0.29263955435012828, 0.59877835138015245,-0.019633700993386839,-0.95284067459250554,-0.47888591228929622,-0.66677363222538377,-0.18898154955878435,-0.087074288564679345,-0.030466041158793897,-0.019944098700408922,-0.027102838348609069,-0.11327173732147099,-0.023332304664509727,-0.018654468691746695,-0.019039626527135072,-0.11962048795001659,-0.019754054455933128, 0.64444043876838697,-0.15151942922425893,-0.089503710397781003,-0.19674107024375029,-0.021586244974094632,-0.020640984838688668,-0.019176874364588471,-0.10915041569702003,-0.12796674244303274,-0.036226065683876027,-0.080453623097039184,-0.018237267624183331,-0.019672370900904703,-0.076345489392399823, 0.51581576194687251, 0.34877643496725858,-0.028507626354854997,-0.019874603565419213, 0.37534991163826176,-0.031091790189160452,  0.2759376125970267,-0.018035516039795734,-0.048064133625605111,-0.018334678368195738,-0.01888060346027734,-0.070723799520639369,-0.10503722765378717,-0.024742338655735215,  1.6121775210757474,-0.016192135762997686
A*68, 0.86285423020322061,-0.23966245685265486, -0.3757466860613955, 0.19762626631023031,-0.19271556883778393, 0.53945860135164236,-0.68071313660057997,  1.2882011010680063,  1.4556188303502542,-0.0096280530575763457, 0.76169037911094728,-0.19731239068156292,-0.19027420759074501,-0.38180381300453331,-0.16890836607423768,-0.19297736445746483, 0.58204264060731548,-0.43059925669493043,-0.19694272042058586, -1.1228827806865656, 0.82580737031808837,  1.3159461176131249,  1.9530162127338118,-0.23392141854804413,-0.21710996448777786,-0.19063467267846909, 0.85396680851158957, 0.34522770630828176,-0.089094413998378322, 0.63493101278548314,-0.18933534352833889, -0.1971973816053037, -1.4493094572422944,-0.50214056091875336,-0.19091238080609704,-0.32751529054241402,-0.19925903883092752,-0.25898195822645903,-0.12453507910937732,-0.17202949537932993,-0.18491004249339921,  -0.392993870797678,-0.18740030404805591,-0.19656196137645107,0.059472186367693927,-0.16568925542308527,-0.29772940862841646,-0.26011912982024837, -1.2683122341297792
A*69,  2.2851061946361955,-0.019355420671774891,-0.32511227317073921,-0.066961104471812444,-0.017041722674769187,  0.3706936607203794, -1.5861679214514983,-0.52543509382110831,-0.059509793925604904,-0.027370532391812696,-0.022083622632412061,-0.016703089433643546,-0.017595380820467226,-0.55801977497046917,-0.017737697393747642,-0.016779954816361003,-0.016967189252056224,-0.090540702592165734,-0.017116306203781163,-0.33126270101346722, -0.4795319131595096,-0.10446504314618016,-0.082814099217360146,-0.02044612828807512,-0.019220577164748051,-0.015977512318373167,-0.10674004044453532,-0.036896015163492529,-0.033330209871479805,-0.066018250292497554,-0.016018426595900411,-0.017510157651424316,-0.062632092019951124,   2.139114579597615, 0.70769994708839778,-0.024177310624964657,-0.017683814158127153,-0.33140906300303835,-0.029610331898732949,-0.16788763066125362,-0.016095900185704757,-0.051413124648727965,-0.016345731738076359,-0.017126205837464999,-0.21452733571052454,-0.11565979174886649,-0.020830472588838887, 0.37857978522869934,-0.065066707425747369
A*74, -1.0137698865688676,-0.032036941651865734,  1.2855293327962647,  1.5494431398132147,-0.028812962322765943,  1.7591252585437753,-0.62041635120956795, 0.21508588493662811,-0.079755499332593294,-0.039452324311216286,-0.046553184930523003,-0.02798244982867619,-0.028892077448395261,-0.033355013589082917,-0.041225626408952012,-0.027082611707146771,-0.027814659619017718,-0.097009946696128849,-0.035243371765609981,  -1.290329799899925,-0.23330362333741866,-0.64897366089504593,-0.50531314394314675,-0.030852861512526527,-0.030632556421643233,-0.026775536811279161,-0.13006287970352057,-0.15996042824185841,-0.051080290759766986,0.033932982372322382,-0.026653225073955039,-0.028828901982871448,-0.10669382544131711,-0.045615788778299769,-0.58972325860747854,-0.057485811954457018,-0.029219788441875366,-0.25295982639237791,-0.041808196011700154, 0.92894992714927904,-0.025933464232774886,-0.054990247012968639,-0.026403084721613478,-0.027511970667306488, 0.32427846821058787,-0.12643899050125079,-0.05180567789136669, 0.19093897370424243, 0.49147577910184004
A*80,-0.13900667699986777,-0.019299912760562307, 0.36251249549100484,-0.039080818067700522,-0.0090616026886773064,-0.25520814387702406,  0.6914200923626056,-0.52792889813000776,-0.41602093294063341,-0.19971838676977091,-0.021303244957341726,-0.012021950860766694,-0.0099042316383411259,  2.1199494709674149,-0.0095102102323046389,-0.008621879222684866,-0.0088363546128962626,-0.44441741909305083,-0.017330808598989975, 0.41529498193714248, 0.19628782214826704,-0.083394554587679859,-0.18330412131863161,-0.0092479204010552391,-0.0091121362467541812,-0.011807974442803725,-0.066019552962368125,-0.054390125132078013,-0.015585382286754535,-0.028145092701147824,-0.0083822351605559852,-0.0090968846742872731,-0.036405199220275637,-0.57414317996115838,-0.13982120433458864,-0.034068773336072118,-0.0091719389957242818,  -0.290288808488046,-0.015172204931147296,-0.074296302746062692,-0.0086216938305251501,-0.028011976965274212,-0.0088213017541677475,-0.0084440214953290047, 0.19847306767989029,-0.031212196511549717,-0.031560242389575312,-0.046901571638977069,-0.031239862623114196
