,B*07,B*08,B*13,B*14,B*15,B*18,B*27,B*35,B*37,B*38,B*39,B*40,B*41,B*42,B*44,B*45,B*47,B*48,B*49,B*50,B*51,B*52,B*53,B*54,B*55,B*56,B*57,B*58,B*67,B*73,B*78,B*81
A*31, -1.1947479731307211, -1.0456490773279801,-0.28438463890847748,-0.11626386176667042, 0.30464959537360964, -1.0156457621090895, 0.33947583311635787,  1.4846148030450967, 0.36671699796086532,-0.082194342362537628,  1.9613261603904739,  2.0404040699760904,-0.73961763390470292, -0.7127760236634878, -1.0760354398896297,-0.41082377549553351, 0.84332829395957909,0.081353936002084473, 0.55017750057472836, 0.25411036197266612,  1.6055647241174957, 0.89445510567113573, -1.1960011729440008,-0.13302651401549759,-0.31085934208018801,-0.36273296128110938, 0.10705364138245459, -1.1018318931834581, -0.1294413282504808,-0.25273445030009761,-0.31134953422218015,-0.35711529870680037
A*32,0.097712495017197573,-0.29307619330899404, -0.2188573848888932, 0.75001970966258968, 0.36915907652210173,-0.29858242618479219,   1.095703141414891, 0.11425428139187821,-0.39388479512617292, 0.10651449556996052,-0.04590731562572252,  0.7116828211881483, 0.23914755552706726, 0.47997488805833205,-0.35698169994930101, -0.6495194549940333,-0.35995091955720704,-0.59179001483813798,-0.36684617033746864,-0.33109239959588638, 0.58024434282056847, 0.28699054567814219,-0.74746354468313336,-0.14416750325020583, 0.10621435604202834,-0.37727732642515044,-0.074086535280785321,-0.27586616262114011,-0.14031882422655878,  1.4435418277962098,-0.33367550917780486,-0.38181535661773447
A*33,-0.39793040473398733,-0.84016604410688478,0.095400559293228493,  2.5800279682049134,  0.3178303843182736, 0.36395381962608631,-0.71059845321492066,-0.57981059171245164,-0.18567676950972437,-0.072683664681072499,-0.64670310783068674,-0.81893523251615719,-0.29917781391624221, 0.65388214778635634, 0.34920917856850797,0.011800242039252493,-0.22338805203944659,0.062874994892142086,-0.27408627213765108,-0.33663321386482464,-0.88537108798128539, 0.16686088706788524,  1.0202440202586978, -0.1297102928734277,-0.79906078132321745,-0.34906186632708497,  -1.027563367870828, 0.68569146630240763,-0.12620437351743299,-0.24702626410183759,  1.8414041301188442, 0.80060785578255578
A*34, 0.47572892070506245, 0.85209517512287902,  -0.224213391477046,-0.58070860000582536,-0.28529228034065091,-0.24845625704720939,-0.32118908884560832, 0.44094157122535721,-0.12731362705258792,-0.28760781981240857,-0.13156961250128305,-0.59231570443450876,-0.33652938052951353, 0.90404460833004352,  1.3379611983967736,  0.3574699853573135,-0.073203964187594298,-0.16311720042978797,-0.38623326218580439,-0.25427603197683007,-0.082008933407017412,-0.33757801089259665, 0.17629847670682569,-0.024801596537330117,-0.24049433499995299,-0.080483117647516214,-0.28414725461274054, 0.73822207940596518,-0.024064638984766108,-0.051699823959766897,-0.066542847518941697,-0.078915235862932351
A*36,-0.41608225765552109,  -0.264124373382158,-0.12651828517424232, 0.18094238803651913, 0.33304575243859275,-0.31885578951746024,-0.18782318971886117,-0.53944362280212688,-0.075004461068902267,-0.16126315795925192,  -0.295599492111013,-0.090297510165609982,-0.19784348807019841,-0.11161346862802267,-0.16549346206532872, 0.55635159552134961,-0.038775042082227942,-0.089825377440974782,-0.22631256180787723,0.017146048038258893,-0.40192856893789963,  -0.198531651324064,  3.1050966311360466,-0.012845619765521246, -0.1365561655286063,-0.042771420645790842,   0.275690910818987,-0.25414020169841528,-0.012459587527245842,-0.027116182345271297,-0.035140454685728066,-0.041907933881435502
A*66,-0.82025912047907146,-0.60983088544239927, 0.32493341341268089,-0.79333490496811354,0.049689767188936175, -0.7709826116220283,-0.46946758679849043,-0.49227194102931299,-0.21905066962584316,-0.43039488186486358,-0.66573152634896204,-0.36933144663715672,  2.7807352375013417, 0.91408788759609272, -1.1546455197213603,-0.51200865215515667,  1.4059418790635381, -0.2552177529684036, 0.36045130313872836,-0.38509594831178767,-0.38739381913854154,-0.45488408581550233, 0.47539287980032818,-0.042076208227853198,-0.36612033755980189,-0.13195535088565602, 0.64018621396929176,  1.9010435599875839,-0.040845989605466593,  0.7579174037054357,-0.10997967908880391,-0.12950062706938267
A*68,-0.37620006711863591, -1.1180059637614614,-0.76851426598585215, 0.73124620661051698, 0.69988468333848086,-0.38427973321368786,-0.18534555749969173, 0.69738942108282398,-0.91392297403086342,-0.96877540365890102,   1.644208940421134,  1.3265660855762766, -1.1623903076383624,-0.37882603199646736,-0.61811123202535834,-0.35982670231375397,-0.63174707317359047,   2.019373002479699, 0.50617346432104326,-0.47162698549938459, 0.13212994874804085, 0.57664107604977233,   1.238847012736207, -0.2972835320030075, -0.2297509052232351,-0.68222912076294728,  1.5354706552516906,-0.23884810864115935,-0.29026592053941352,  -0.513067209294504,-0.40727881557611201,-0.11163458665929486
A*69,-0.31419812920854934,-0.41256365632469721, 0.34851905825151591,-0.12790652065531871,-0.0063514970807316455,-0.53324036146941467,-0.29736043597590289, 0.45042774072372105,-0.12879916180012596,-0.26983842421622722,  0.3105200442456556,-0.55716668364028687,   1.254624681931326,-0.18748160675766867,-0.91228873287294077,-0.32819055089350624,-0.068225992544155498, -0.1528008326895072,-0.36992891800701744,-0.23935264742199402,0.054329851260027706,-0.31894642021173003,-0.41802735452201001,-0.023041265207272937,  3.7603912472305687,-0.075044961821863265,-0.33823355171086167, 0.10621429655248776,-0.022355501374237936,-0.048116934366576956,-0.061991409456769966,-0.073575369965935708
A*74, 0.49674768511464074, 0.25642969582452108,-0.35206720187955914,-0.73167850873033691,  1.5359614434668341,-0.26215717549462569,-0.39352937058189114,-0.37380171416896912,-0.22364031568797477,-0.44014963947668373,-0.17850948484755153,-0.83162035120768096,0.093945402065415504,  1.3132845585557278,-0.22153968862655141, 0.48919673111836287,-0.12413973699005731,-0.26331488444994661,-0.47354801830240673,-0.10384428057168896, -0.4656197259972274,-0.50118725110665785, 0.89125202070259901,-0.043438261016326161,-0.37509330243140093,-0.13587553645925701,  1.4225035396553409, 0.20367866814236915,-0.042169861239529413,-0.060811330748260048,-0.11331397006499731,0.0080498654337676397
A*80,-0.46928199564354051,-0.30085806711075885,-0.14654334255439597,-0.39084352117372934,-0.20418995537040466,  1.0152608687871998,-0.20773997645884598,-0.60983091631242148,-0.08753013981912644,-0.19148014924240525,-0.33504917476842988,  1.3326464363364021,-0.22705990456388955,-0.12955012460022666,  1.5166499236312541,-0.23632189171874823,-0.045513188424271642,-0.10459088150319747,-0.26734256995569849, -0.1676821415966557,0.075395187077143114,-0.22783069038390075, 0.38175133592167609,-0.015144856096233743,-0.15795271609710584,-0.050170632027037983,-0.21904579384183956, 0.60686782078803336,-0.014690717900431754,-0.031891070622793317,-0.041272076798708625,-0.049165077956910573
