,Cw*01,Cw*02,Cw*03,Cw*04,Cw*05,Cw*06,Cw*07,Cw*08,Cw*12,Cw*14,Cw*15,Cw*16,Cw*17,Cw*18,Cw*30
B*14,-0.69402827341863282,  0.8828234676176987, -1.3249081385261723, -1.1897667907236671,  1.2095536743791062,-0.40522635298697429,   -1.79483069944451,   6.153814445023067, -1.2970164584370163,-0.38722088564572027, 0.57283339707439807,-0.90671054085513336,-0.47293155307140833, -0.2526084764347476,-0.093776814550277629
B*15,  1.3339111299822755, 0.37838937337457218,  3.2671799443798726,  1.3937999754888732, -1.0607604068284333, -1.8109169822426294, 0.56599208978858606,-0.40046870416008318,-0.75109432591777325,  1.5991183126439616, -1.7706802987530201,-0.82816412195930844, -1.0203960067285003,-0.55454950499559752,-0.34136047407277254
B*18,-0.80463764126894921, -0.2226606925479345, -1.0727827283857321,-0.91516341457058326,  2.8357606034668077, -1.0582093000390875,  2.2748457845987464,   -1.07972508226057,  2.5917210453093484,-0.68521755212281821,-0.58747848740447861,-0.32881866092823347,-0.38295468419166317,  -0.352867969533397,-0.21181122012146081
B*27,   3.255875665099293,  3.9174503351306749,0.049411685532581288,-0.73768984875018706, 0.13608553423696837, -2.0420300410892374, -1.0100110428031492, -0.3499865371268594,  -1.928518192343599,-0.71006439756465356, 0.80903336831868811,-0.14488813029335076,-0.72082123525023378,-0.34476660841537593,-0.17908055468156517
B*35, -0.4059658616322831, -0.8285003596545808,0.015353065247300292,  4.8473435084392227,-0.74768200729325007,-0.63441963175940708, -1.6207196152268566,-0.69466013101052659,  1.3183782794771552, 0.46151547588242081,-0.60127146791479913,  0.1217595409900273,  -0.410114236086351,-0.54434193045876922,-0.27667462899930734
B*37,-0.69794772028680707, 0.22603961507433296, -0.9301249086462583,-0.22008912805773445,-0.074035452421528175,  4.1096777960666113,-0.79891427976960194,-0.31959905168283298,-0.92337082675904436,-0.20256763384396764,-0.46741058450855938, 0.64320202983279129,-0.22131272855770817,-0.084604898745741661,-0.038942227693953065
B*38,-0.65137458954676664,-0.57940816041457255,-0.43758685911738276, 0.06002840438292685,-0.80536795987626209,-0.24961644884029707,-0.96640945668177047,-0.53934305678236483,   4.567252283896309,-0.35017098721697992,-0.14884258748818138, 0.68869595737582789,-0.38390261301346046,-0.13738842925786562,-0.066565497419161609
B*39,-0.80241068362225543, 0.27409327359331725,-0.95429755369544689, -1.0416255165429986, 0.16402932622442265, -1.3496998805191347,   2.328339397665685,-0.34172419932610126,  3.4055403954564056, -0.3467720156585653,-0.74899353815972158,-0.68732560779390695, 0.30296866582763904,-0.12672672492078982,-0.075395338528549113
B*40,-0.18405462481233495,  2.9501341893491864,  4.0447968089546018,-0.40287735739078179, 0.36887293551547273, -2.1013802604607115, -1.5125336053616365,-0.75085273194209368,-0.84924505350805124,-0.19996498668018078,  1.2548297566371045, -1.2832326861526691, -0.7778834827760599,-0.35981882096325962,-0.19679008040857845
B*41,-0.74821970744546928,-0.69136082933004928,-0.56940393643510212, -1.0712139520459827,-0.72359134542497316,-0.73829966118881585, 0.38261382822261314,-0.38823110951059392, -0.5507024145267867,-0.24363496252250386,-0.59191173724549173,0.084974299026729719,  5.9807994493912702,-0.089178879864093633,-0.04263904110075132
