,Cw*0102,Cw*0103,Cw*0116,Cw*0202,Cw*0205,Cw*0210,Cw*0214,Cw*0302,Cw*0303,Cw*0304,Cw*0305,Cw*0306,Cw*0401,Cw*0403,Cw*0404,Cw*0407,Cw*0408,Cw*0413,Cw*0414,Cw*0427,Cw*0501,Cw*0602,Cw*0604,Cw*0608,Cw*0609,Cw*0701,Cw*0702,Cw*0704,Cw*0705,Cw*0713,Cw*0716,Cw*0735,Cw*0801,Cw*0802,Cw*0803,Cw*0804,Cw*0813,Cw*1202,Cw*1203,Cw*1402,Cw*1403,Cw*1502,Cw*1503,Cw*1505,Cw*1507,Cw*1601,Cw*1602,Cw*1604,Cw*1608,Cw*1700,Cw*1800
A*30,-0.43319475234188498,  0.3177564437692324,-0.23037611965996393,0.046480173214584822,-0.32605403305482805, 0.24029478733575468, 0.88986755226707093, 0.33540817012435004,  0.3470561621907865, 0.42812518366236363,-0.34054109920972297,-0.23945258614426171, 0.29072181133432562,-0.29579687721894404,-0.39807779323883608, 0.14189672354298311, -0.3033476108545321,-0.32426116041647157,-0.23812837128596082, -0.2432995569136458, 0.24841408261832224,-0.032609134658940268,-0.013003225001493191, -0.3117204776868932,-0.22790468893518825, 0.33441144131566353,-0.033817142928502832, 0.34411184012121881, 0.49949837177573697,-0.23012791896608642,-0.23705224989975379,-0.075496495645732256,-0.26831641941514051, 0.79933953824955262,-0.23160097725566764,-0.20693870223633232,-0.23742387879698515,-0.85897181498686548,-0.10937358812430358,-0.011892763027525149, -0.2284235331016829,-0.77332365099127398,-0.23802600906193358, 0.97208235668724297, -0.2200294638502911, 0.44258696027194011,-0.40207581733447451,-0.28198540264246341, 0.49432886553066863, 0.84621553817736783, 0.58404731269740306
A*31,-0.18711222804091199,-0.053072257839158095,-0.040327666989987562,-0.82727799557035442,-0.052397536168149149,-0.24079696851603211,-0.051656719361630639,-0.053530654970651022, 0.80582992333977954,  1.1649000181962648, 0.74980119966002434,-0.04399084170540999,0.051291826567606329,-0.05489324307778394, 0.58069036562917331,-0.18917115744141372,-0.055866256000156038,-0.053059517953227366,-0.045078967980602021,-0.04313374593702516, 0.68309716756883088,-0.27166271693463911,-0.057271875849692552,-0.074091916803285626,-0.04069777816970685, 0.52254196264476904,0.086965466201564992, 0.46449811648569939,-0.096894850015609796,-0.041655066562053679,-0.041858756434991387,-0.057555139493994857, -0.1525117899149917,-0.59797924655001899,-0.043625415385742369, 0.75506699076811801,-0.044113301027043951, 0.39472528398074125,-0.78103335938523444, 0.68708390723275869,-0.25723148225263848,  1.4857585769308528,-0.054719722802248613,-0.73943424486586462,-0.048400515414927466, -1.4000200773939377,-0.16580863429055845,-0.065974030061186184,-0.05232616525661242, 0.17325847844858558, -1.5292774412372958
A*32, 0.80053802053730538,-0.061637495173084089,-0.046171980955040944, 0.76824231845856572,-0.069464865047325117,-0.034779618526911305,-0.057848933303364991, 0.16111125574882237, 0.40549277764381103, 0.11328915397722145,-0.12024634094774156,-0.051418202959880088,-0.046544332428851497,-0.064785998588918536,-0.18309723042820797, 0.21865857868888414,-0.061824787880076011,-0.077906983110540118,-0.049448184961252389,-0.049255402395628235, 0.76147359299186479,-0.012149376321319322,-0.064351136468349501,-0.065205055376874904,-0.046169790649088112, -0.5675565710162811,-0.97357125171198644, -0.4251061569654348,-0.10463451261365178,-0.047139591701237597,-0.047788514525798076,-0.073932853948209601,-0.18185854917861125, 0.89702563599684071,-0.049796560792228953,0.049570838400056008, 0.82865966454636841,-0.14053860624945119,-0.064798988554010145,-0.044450967670546453,-0.36594490649716405, 0.97488302273426763,-0.050511274014124891, 0.18421164742755153,-0.055109941738473237, 0.60064588801778895,-0.085828593924050553,-0.062596676196526313,-0.048063331346608819,-0.13926862073518856, -2.0730002102673071
A*33,  -1.079099173116318,-0.17335554664220787,-0.14426550624279336, 0.30569263004763697, -0.1748555501016654,-0.30657388375499134,0.038931111083444603,  1.4819801343914261,-0.15918729643313309, 0.11902138424134102, -0.2265631738591283,-0.14611056650143558, 0.37844569361510427,-0.19277154637666705,-0.34522538449685303, -0.1876898989082757,-0.18575560687880946,  1.7562113763122027, 0.58972149898098103,-0.15296112028722572,-0.13732628624770798, -0.6426324512783349,-0.18489250458536594, -0.1717147371799819,-0.13316868802986614,-0.30745593359587142,-0.027693937336811119,-0.52345056615280949, 0.16535901274470402,-0.13830259449856444, -0.1486522769021649,-0.19624313669146787,-0.36971951080103849, 0.46604944646554358,-0.14005032690380542,-0.40950029487340439,-0.14391725175492884,-0.51939019688452204, -1.2380238514862878,  2.2892774652299739, 0.54796894595519074,-0.74952239596976078,-0.14272175180285523, 0.81709773411656916,-0.13785465345650183, 0.65604067474468564,-0.24696720758563948,-0.17609283912446932,-0.13602472468850055, 0.91751709551776861,-0.03358183201639578
A*34, -0.7065522082411585,-0.10665785301603124, -0.0836648296152155,-0.20100074012571284,-0.11167253753619601, 0.51941469027098419,-0.097926112493098627,-0.11760391288985131,-0.76260310517076291, -0.6673778419481512,-0.15203711468888584, 0.21013886238284374,  1.0135390927502563,-0.076259202638632478,  1.8185997673003331,-0.45593526368238485,-0.11063252368937351,-0.12167558299301257,-0.088249613383891964,-0.088818455278620936,-0.61340849838715783, 0.53263229000757195,-0.10326144396831423,-0.10544768737649046,-0.073481570571444055,-0.057167324893029586,-0.091034064622117009, -1.0424203801736054, 0.45846522731604661,-0.083616313524832772,-0.086496656315192114,-0.11484294040290288, 0.33720061680932495, 0.12548331715496888, 0.43471289181441214,  1.2963717935051955,-0.089716394656294648, 0.15395082672182309,-0.16119478756337566,-0.29656842492063495,-0.11482659170285717,-0.56647841222781381,-0.095196850419542192,-0.40999609559211242,-0.086602048586305103, 0.80244005193646339, -0.2140531468440274,-0.11638880060913807,-0.090734830189590734,  1.0034410065493176,-0.14479027358180102
A*36,-0.32635250061441695,-0.042478054977819847,-0.035428452484833783, 0.64633860763885009,-0.042945932061370373, 0.21575004616130239,-0.040988561988844222,-0.032094718444425352,-0.36174083749309932,-0.13724010376797127,-0.065308943598297711,-0.037350573407676758,  1.4403694040724355,-0.053935422495781413,-0.096790247615078012,  0.5120861051550879,-0.043971889753369825,-0.065884570600689363,-0.034779480886539545,-0.037841531091088468,-0.52010286602963918,-0.70723624595160095,-0.044530400916186715,-0.042600995198655005,-0.032522492821373608, 0.85273818408346702,-0.37865251966472652,-0.069922199162893078,-0.073584921626787883,-0.03320467049970087,-0.03664683383432215,-0.048985966934905686,-0.17757719489286122,  0.1963871794374443,-0.034990840921909835,-0.33679810352738754,-0.03782625651855779,-0.35984918176224112,  0.4157193678505744,0.047770401768927655,-0.12350480797346229,-0.31440908666605955,-0.035592304632865758,-0.098620132206366257,-0.035038401721467265, 0.51108919656288665,-0.063157526426082772,-0.043323811359375332,-0.03376795056806349,-0.21445469457358718, 0.51378373494141272
A*43,-0.089987780341499637,-0.0075740831722595084,-0.0075315849770059744,-0.68068564262650966,-0.010091639967098944,0.041308390862796592,-0.0067347392840061545,-0.34097812908811626, 0.36829500632695911,-0.83613137093325918,-0.0098088466589292631,-0.0065177112247236562,-0.40960020777053352,-0.0073881901907286267,-0.011967970052343926,-0.046729851940172235,-0.0069054250293078484,-0.0068670009239629242,-0.005808935741330225,-0.0080230662530056032,-0.23291931460102552, 0.74100292656554168,-0.0092163508525646802,-0.0072957378981394795,-0.0055446552144122275,-0.66462554818725417,-0.026987332687681779,-0.098923308618456079,-0.012592962055576615,-0.0055305085405127092,-0.0077448767521918734,-0.0077299947402390112,-0.065031892081670706, -1.1746084094351561,-0.0060005322918951411,   1.812179254271771,-0.006067945838695952,-0.02600359596686978,-0.14561514531978006,-0.34354094922178907,-0.059605549477733152,-0.0049925820609606321,-0.0059591139270464086,-0.035801901604687658,-0.0057473251930333542,-0.28886991538728818,-0.010280321982820782,-0.0077862672535431521,-0.0056217167148180933,-0.38579531923432137,  3.1929856712878872
A*66,0.010901930393792076,-0.073388572371942642,-0.06454137352406264, -0.1763358411845026,-0.075688558787142785,-0.13022376618949438,-0.070043517400126251,-0.62159881552646057,-0.57118894951625476,-0.27330703123756839, -0.1261350808790857,-0.071314596084681714, 0.27537257282861538,-0.078509069970732967,-0.16814067939938651,-0.36665246137563995,-0.074681052547473495,-0.088787104013105619,-0.060635034467298579,-0.068681035635837148, -1.0761050540931829,  0.9415301705980641,-0.074588059019879333,-0.075471355049173017,-0.057217101519548008, 0.68065519006934128, 0.58846463491050072,-0.31225827133582679,-0.12267410619020289,-0.057615937611487693,-0.066653448693576076,-0.082785265392040369,-0.33041210330339676,-0.46014161391618785,-0.060465006031210945,-0.090737120847776728,-0.06165501641904602,-0.26973996687719731,  1.0326988962237733, -0.3026030716910626, 0.27019818979971599, -0.5150265664007796,-0.063556756306809889,  1.9844430099646697,-0.062020939655022103, 0.45755151250919712,-0.12452235473668266,-0.058597146397987597,-0.060376974429915735,  0.2468395631953838,  1.0564201055357427
A*68, 0.10862508135504939,-0.21890034850522716,-0.19995292663503356,0.082649377035408172, -0.1879128720948397,-0.26939066067840289,-0.21079868789652317, 0.60379381575557967,-0.77563091220615954,  1.7493398257142876,-0.28320817593511982,-0.19821347164225497, 0.53485356606837331, 0.38516181931640098,-0.37349754100860622, 0.16995591882632619,-0.22614018400809335,-0.29240101033044807,-0.18749237665653617,-0.21126034355476381, 0.85940857363381395, 0.77734204958378261,-0.22972225523004242,-0.23035052362388134,-0.17693929624550064,-0.13856905822243687, 0.34068084981375851,  0.8918980234162428,-0.34944804722182571,-0.17830038726071076,0.048883949795982984, 0.29943262789459385,-0.72692152532257337,-0.023708595924979117,-0.18624690369703165, 0.35910830808118305,-0.19076356305953687,-0.77332438950706994, 0.35817396116664574,-0.83630269726305484,-0.17939932498508301, 0.14247401475231775,-0.20241246976926275,-0.43988536083401436, 0.59981425263984878,-0.046506258904406746,-0.36041849719363422, 0.13079910037403827,-0.19356115668365428,  0.3218162053061594, 0.33336850157091119
A*69,-0.12866881981162184,-0.0033678864919191765,-0.0041060181009246908,-0.45037039751195385,-0.0032342844520773539,-0.67255961094026406,-0.0033677788578611425,-0.068795231115403824, 0.16636634992811525,-0.052864109041162552,-0.0042839622548900037,-0.0029184664924649601,-0.47858534293523158,-0.0036914175946735467,-0.0052019975737329612,-0.031232736144962515,-0.0032394476443822029,-0.0036840414331467614,-0.0028472532057612636,-0.0043643867681026965,-0.16845123925035835,-0.019389624009474828,-0.0036032325438299087,-0.0038033704241176389,-0.0027889040119310859, 0.52307214680658487,-0.027025666932171642,  2.3185019041388508,-0.0044302679580045905,-0.0026998449187430498,-0.0042131969912389822,-0.0037396893792491421,-0.041346355874685221,-0.03301580955508162,-0.0029772982024414206,-0.12867746146025152,-0.003018330914642986,-0.013360171904416598,-0.089582787668925454,-0.24050148756414902,-0.041801299336944556,-0.015809638129388466,-0.0029622571090980941,-0.015972892308264524,-0.0028353713112838539,-0.10123458743814522,-0.0053818583941431129,-0.0035281528566129196,-0.0027961926256799578,-0.040631607584963175,-0.054978615844777513
