,Cw*01,Cw*02,Cw*03,Cw*04,Cw*05,Cw*06,Cw*07,Cw*08,Cw*12,Cw*14,Cw*15,Cw*16,Cw*17,Cw*18
A*66,-0.018402061631897417,-0.033997798523465926,-0.024053048075089421,-0.12727682644106911,-0.21411216181795895,-0.060215725160390615, 0.69942621170730146,-0.020048364518333226,-0.022566617744695525,-0.012157728356092251,-0.019823538165527409,-0.12108749256339955,-0.018401885332802192,-0.0072829633765799356
A*68,-0.17942245523637082,-0.61802610657321888, 0.48151547362920033,-0.42429206235259836,-0.038512720113130727, 0.25003686235876893, 0.84781428439247264, 0.53515649359701434, -0.4400354003021773, 0.13006682984288126, 0.44047160403496993,-0.52863883687291202,-0.31118072694317783,-0.14495323946172195
A*69,-0.049551384401313736,-0.036401517567838861,-0.048229377841289466,-0.081841641182257632,-0.024240670941264308,-0.069327115505423267,   0.538115432879539,-0.042999796436773596,-0.048005906927254476,-0.023977827082480078,-0.040193118741443962,-0.02632449870346015,-0.035858031708772851,-0.011164545839966679
B*07,-0.27861985548478446,-0.32543649950103981,    -0.4432502225562,-0.49901360310205678,-0.25615052485616874,-0.41231503795569951,  2.9180499308079924,-0.31334233056693434,-0.26667265197159462,-0.12549135339265313, 0.50777207049715078,-0.20710577473275435,-0.23376868722071037,-0.064655459964547274
B*08,-0.23778973361167469,-0.16211739300568098,-0.26510548613903834,-0.23653454230713045,-0.12364417324611432,-0.47820017939519016,  2.4953581370907476,-0.15861465128986946,-0.20887661625283027, -0.1494385975136541,-0.21377343011262531,-0.10578140787744404,-0.11078236080526978,-0.044699565534224578
B*13,-0.16378048173188511,-0.17719487919580429,-0.27282613773563663, -0.2016898809290272,-0.19675860605266943,  2.5839487277382016, -0.6188055408586286,-0.18546517353600242,-0.15201147467192822,-0.11846398138108309,-0.16436571125695887,-0.088358355787964957,-0.18725555050187384,-0.056972954098738933
B*14,-0.27065701540892378,-0.21661077044754004,-0.23549566061568949,-0.38226948321568444,-0.12244972889673782,-0.29090538472835209, -0.5743702811699215,  2.3543262830452756,-0.27560468176831476,-0.09844782302942108, 0.44854032848980263,-0.12302674063557324,-0.16149406032915509,-0.051534981289764886
B*15,  2.2421277577839906,  0.3267194989757124,  1.3672415182081794, 0.25912646874014161,-0.79342004893769158, -1.0924437061936758,-0.34754616385236847,-0.87907308978645804,-0.64600835400546563, 0.95286285432684947,-0.65995261592564269,-0.52645226357384445,-0.63402402208371555, 0.43084216632399025
B*18, -0.2338533131751028,-0.26344098775494668,-0.34441494614112311,-0.44159572435906858,  2.1721849145511585,-0.50766384407767839,-0.70495456341903018,-0.29144380076426285,  1.5976076989887562,-0.16760733398498209,-0.24009190348400966,-0.14739687311524932,-0.33251813284474879,-0.094811190419712074
B*27, 0.96953440572031391,  3.3610562541693914,-0.061255677722848102,-0.49029564844865425,-0.48423395295432931,-0.77333467466926509,-0.54281699086105706, -0.5787777841967362,-0.52002348181703761,-0.14822867384419078, 0.11381752937069649,-0.34906800110375491,-0.36221900792845146,-0.13415429571407478
