,B*07,B*08,B*13,B*14,B*15,B*18,B*27,B*35,B*37,B*38,B*39,B*40,B*41,B*42,B*44,B*45,B*46,B*47,B*48,B*49,B*50,B*51,B*52,B*53,B*54,B*55,B*56,B*57,B*58,B*59,B*67,B*73,B*81
A*31,-0.39367083762759597,0.048263874107235906,-0.49946100240843883,-0.35046776963110315, 0.49063989072118308,-0.64535820805149979,-0.10459525215196711, 0.54273430600920902, 0.56003978598854365,  -1.158728727024857, 0.60943275442455969,  1.0957302683666406,-0.29882049855012233, -0.1166830304452844, -0.6252368394600476,-0.36736854885404618,0.078735007317624436,-0.11628255810647053,  0.9730125830233779,-0.22113615471391534,-0.38845859703701513,  1.7489309107508015, 0.15690074616460881,-0.18869399143737337,-0.53267024760544845, 0.20780928367679902,-0.40656611972329854,-0.41006213236544187,-0.046217502243519094,-0.26085684558823025, 0.90098618661359464,-0.10596868250897022,-0.17591205162953985
A*32, 0.35994476141856363, 0.40147914903930393,-0.85155469286224228,-0.20966674037594896,-0.056971322593770829,-0.41904341341852469, 0.55865249139782536, 0.48137141248875842,0.079106972884519011,-0.87767476688416179,-0.37814559135842452,-0.67741913736693271, 0.52752825964845451,-0.063922261655649668,  1.2878292008977787,-0.22100400633065334,-0.19312922529317655,-0.063692075489114569, 0.10435596415660035, -0.0883251474492181,-0.23803971004477134,   0.501169992781062,  1.0635687394678717, -0.1064641430689927,-0.49504295428833806,-0.49682255893964006,-0.46485213314902951,  1.6665731037884275,-0.65011051848087686,-0.19442632391153356, -0.2168601841296445,0.030337317388471251,-0.098750458266991192
A*33,-0.98560060670142646,-0.33998019653588052, 0.23191495954316307, 0.36158988422707866,-0.50100520685032457,-0.65385382055251506,-0.61296769547717989, 0.21433039259802575,0.042245542534659501,-0.51720955960945536,-0.36794046152411147, 0.13220182557499818,-0.53015611405145191,-0.23259171592804101,  2.7704307048537307,-0.63145132348745203, 0.64011598360167477,-0.23186816776456184, 0.44701045700180642, 0.20351979703224388,-0.64319744997364925,-0.71976073449987854, -1.2428528065173645,-0.35695172405830949, 0.98965737749469374,-0.37647193254254441, -0.1220924302932813,  0.2671986018086781,  4.3748364730687834,-0.45634741461117467,-0.60899035761948839,-0.21309715844863558,-0.33066512229283529
A*34, 0.21880790255187713,-0.45298224325237274,-0.73699876828357991,-0.11475704082848839,   1.784296222324453,-0.019244669127658147, 0.22904018948360558,-0.57218323172875163,-0.30976094681455019,  1.7302985107155529,-0.18994158753723342,  1.2154595987714885,-0.13856043971848089,-0.049305619212858788,-0.16170428594420005,-0.17576922275888329,-0.23959562960209199,-0.049125619383822233,-0.36361852786924209,-0.098730168489549394,-0.18987351359693291, 0.26412543607513994,-0.51478710380007953,-0.082860937165024975,-0.41430760673882211,-0.49310839136768375, 0.72428079883003749,-0.34399585048219228,-0.0075952045381333586,-0.15390407418750607,-0.17234857275307683,-0.044513978370236566,-0.076735425200703616
A*36, 0.72244152788230265,-0.021438130865362219,-0.045449505582486678,-0.0059964920806453471,-0.11297461759911578,-0.014700708439445874,-0.018651257211576695,-0.080826863437275243,-0.012794335037675384,-0.04699086567011241,-0.014039595001072014,-0.11107284638670269,-0.0048607895073462005,-0.0015872109726120178,-0.038198259690420143,-0.0063902228351974425,-0.048026370807486445,-0.0015811436556550709,-0.017910582969538097,-0.0033334438849552117,-0.0069969045704936393,-0.082817726515486301,-0.039247814490663425,  0.1343998192603939,-0.01888313387470307,-0.024188684160657864,-0.016972325125815653,-0.014675578098234998,-0.030548243448125324,-0.0054793668471440661,-0.0062454724578191075,-0.0014263532737931013,-0.0025365026450793085
A*66,-0.12749524358711922,-0.044628486469472588,-0.092393046950879132,-0.012690567185426665,-0.21693427178578645,-0.030819956275411547,-0.038939639456075287,-0.15922309638169349,-0.026877842001792464, 0.65608332021510885,-0.029454600945444099,-0.21359038361493701, 0.97191078532780184,-0.0033755700673933952,-0.078193603528614819,-0.013518003579816635,-0.097395230827612686,-0.0033626891226691763, -0.0374222704821945,-0.0070755178357130889,-0.014791489862135958,-0.042099301124398691,-0.080260479968117596,-0.0058519115029501655,-0.039414115491505211,-0.050211825619784732,-0.035496940140605726,-0.030768048524703141,-0.062470611017064699,-0.01160276035963821,-0.013213860929301127,-0.0030340141680301868,-0.0053887267366229934
A*68, 0.99593925490262158, 0.91581221678264702,-0.55318061194950818, 0.45688255171100156,0.004570614377867298, 0.17703951304636373,-0.59416403117461303, 0.68940643612930397,-0.050169630970891749,-0.58419190810257948,-0.49272430807221668, 0.30520000236132472,-0.21797531143299168,0.056276437114521335,0.047601467072430965,-0.27632957690040855, -1.0153668416418395,-0.082591259781433946,-0.57890920023876979,-0.053738433692765694,-0.27371248144198496, 0.41118037251459455,  1.6313919034644566, 0.58229133791313881, -0.5988656932721601, 0.95615628988714796,-0.55905848165192573,-0.29572434190636449,-0.28534025836062327,-0.24440280098849565, -0.2713701591862796,-0.075056842180434249,-0.12687622433112947
A*69,-0.22420144512447804,-0.08324861435433431,-0.16635916274131424,-0.024320457329750977, 0.79517207872952278,-0.058143884444195361,-0.072970832669950553,-0.27496083471731564,-0.050875765038724492,-0.17140068639080414,-0.055631746987550842,-0.25961212300546338,-0.019781602593774483,-0.006524134046035808,-0.14220160690628664,-0.02588703727006185, -0.1747692363399693,-0.0064993157891123426,-0.070214293510755046,-0.013628704019048933,-0.028293654431577331,-0.28068403234192257,  1.7859310531026298,-0.011284459705655907,-0.073831359918353989,-0.093250138188275877,0.045218592936289617,-0.058048402411664216, -0.1158677046415553,-0.022257465799071615,-0.025311447828031776,-0.0058658558942123636,-0.010395720329194643
A*74,-0.55500298406764936,-0.24404951613186182,-0.37294868274138271,-0.079259165653110294,-0.33175722872649904, 0.56497334136286037,-0.21744097426848211,-0.64885122534941098,-0.15745602167393333,  1.5429503901600854,-0.17071709352322689,-0.28215663729872825,-0.065092059095652396,-0.022115090556308548,-0.32816587003566833,  1.5499374533885331, 0.25601531567675229,-0.022032230259394568,-0.21017308326028122,-0.045453954853829179,-0.091452582638423582,  1.7165155041532352, -0.3921916330662199,-0.037834537427870664,-0.21969826068433337,-0.26924644642708312,-0.20084249507222679,-0.17664632781587519,-0.27979878667408553,-0.07285152931058296,-0.082318119032814385,-0.019914312625000437,-0.034925156471531542
INTERCEPT,  1.5185166785315578, 0.38596123277200128,  1.1613901543406706, -0.9034790479948136,  2.1394737289441097,0.001945265188156868, 0.24391114751803261,  1.7724719523348103,-0.13885661890037765,  1.1962849646059233,-0.044733891128592919,  2.1205950397524487, -1.1145488661360441, -2.2370776038499245, 0.98032876725665707,-0.83947982594955972,  1.2191161436393201, -2.2409164977653031, 0.20264673178804343, -1.4933032831133568,-0.74818787978279966,  1.7987959243543128,  1.0084845310001567, -1.6843943109648587, 0.25649554868631141, 0.50941665385722001, 0.14790501432521849,0.00020650959548703277, 0.74919760893416187,-0.99418592280777418,-0.86255115025474527, -2.3441052999870671,  -1.767323398789725
