DOF	RowCount	RowFraction	Column3	logLikelihoodRatio	Pvalue	ln(Pvalue)
1	843	0.686	1.372	23.55049284	6.74218E-12	-25.7226382
1	844	0.688	1.376	23.76840287	5.39809E-12	-25.94497663
1	845	0.69	1.38	23.98832919	4.31324E-12	-26.16933283
1	846	0.692	1.384	24.21029047	3.4394E-12	-26.39572545
1	847	0.694	1.388	24.43430553	2.73696E-12	-26.62417331
1	848	0.696	1.392	24.66039337	2.17347E-12	-26.85469541
1	849	0.698	1.396	24.88857318	1.72239E-12	-27.0873109
1	850	0.7	1.4	25.11886432	1.36204E-12	-27.32203913
1	851	0.702	1.404	25.3512863	1.07479E-12	-27.55889964
1	852	0.704	1.408	25.58585887	8.46292E-13	-27.79791212
1	853	0.706	1.412	25.82260191	6.64929E-13	-28.03909647
1	854	0.708	1.416	26.0615355	5.21289E-13	-28.28247275
1	855	0.71	1.42	26.30267992	4.07775E-13	-28.52806122
1	856	0.712	1.424	26.54605562	3.18268E-13	-28.77588234
1	857	0.714	1.428	26.79168325	2.47849E-13	-29.02595673
1	858	0.716	1.432	27.03958364	1.92572E-13	-29.27830522
1	859	0.718	1.436	27.28977783	1.49281E-13	-29.53294883
1	860	0.72	1.44	27.54228703	1.15453E-13	-29.78990878
1	861	0.722	1.444	27.79713268	8.90831E-14	-30.04920647
1	862	0.724	1.448	28.05433638	6.8574E-14	-30.31086352
1	863	0.726	1.452	28.31391996	5.2661E-14	-30.57490173
1	864	0.728	1.456	28.57590543	4.03436E-14	-30.84134312
1	865	0.73	1.46	28.84031503	3.08324E-14	-31.11020989
1	866	0.732	1.464	29.10717118	2.35059E-14	-31.38152447
1	867	0.734	1.468	29.37649652	1.78761E-14	-31.65530948
1	868	0.736	1.472	29.6483139	1.35609E-14	-31.93158777
1	869	0.738	1.476	29.92264637	1.02614E-14	-32.21038238
1	870	0.74	1.48	30.1995172	7.7451E-15	-32.49171657
1	871	0.742	1.484	30.4789499	5.83085E-15	-32.77561383
1	872	0.744	1.488	30.76096815	4.37838E-15	-33.06209784
1	873	0.746	1.492	31.04559588	3.27915E-15	-33.35119253
1	874	0.748	1.496	31.33285724	2.44943E-15	-33.64292202
